hey	UH	hey
guys	NNS	guy
i	NNS	i
am	VBP	be
17yrs	JJ	<unknown>
old	JJ	old
!	SENT	!
just	RB	just
tell	VB	tell
my	PP$	my
story	NN	story
!	SENT	!
hoping	VBG	hope
someone	NN	someone
will	MD	will
connect	VB	connect
with	IN	with
this	DT	this
post	NN	post
...	:	...
.	SENT	.
From	IN	from
past	JJ	past
year	NN	year
i	NNS	i
was	VBD	be
noticing	VBG	notice
that	IN	that
my	PP$	my
friend	NN	friend
no	RB	no
longer	RBR	longer
talking	VBG	talk
with	IN	with
me	PP	me
,	,	,
anyone	NN	anyone
in	IN	in
class	NN	class
started	VBD	start
ignoring	VBG	ignore
me	PP	me
as	IN	as
i	NP	i
enters	VBZ	enter
the	DT	the
class	NN	class
as	IN	as
i	NP	i
never	RB	never
did	VBD	do
anything	NN	anything
wrong	JJ	wrong
in	IN	in
my	PP$	my
entire	JJ	entire
school	NN	school
life	NN	life
.	SENT	.
but	CC	but
buy	VB	buy
the	DT	the
time	NN	time
of	IN	of
my	PP$	my
farewell	NN	farewell
(	(	(
its	PP$	its
coming	VBG	come
in	IN	in
jan	NP	Jan
2026	CD	@card@
)	)	)
everyone	NN	everyone
started	VBD	start
to	TO	to
avoiding	VBG	avoid
me	PP	me
.	SENT	.
My	PP$	my
friends	NNS	friend
are	VBP	be
making	VBG	make
jokes	NNS	joke
on	IN	on
me	PP	me
to	TO	to
entertain	VB	entertain
the	DT	the
table	NN	table
even	RB	even
in	IN	in
front	NN	front
of	IN	of
girls	NNS	girl
,	,	,
everyone	NN	everyone
was	VBD	be
avoiding	VBG	avoid
me	PP	me
,	,	,
i	NP	i
was	VBD	be
crying	VBG	cry
at	IN	at
home	NN	home
because	IN	because
no	DT	no
one	CD	one
get	VBP	get
to	TO	to
know	VB	know
how	WRB	how
it	PP	it
feels	VBZ	feel
to	TO	to
me	PP	me
.	SENT	.
No	DT	no
one	CD	one
to	TO	to
understand	VB	understand
me	PP	me
,	,	,
no	RB	no
one	CD	one
to	TO	to
listen	VB	listen
me	PP	me
,	,	,
no	DT	no
one	CD	one
whom	WP	whom
you	PP	you
i	NP	i
trust	NN	trust
upon	RB	upon
.	SENT	.
I	PP	I
tried	VBD	try
to	TO	to
connect	VB	connect
with	IN	with
my	PP$	my
parents	NNS	parent
but	CC	but
due	JJ	due
to	TO	to
odd	JJ	odd
timings	NNS	timing
i	NP	i
was	VBD	be
n't	RB	n't
able	JJ	able
to	TO	to
tell	VB	tell
them	PP	them
from	IN	from
past	JJ	past
3	CD	@card@
months	NNS	month
,	,	,
either	CC	either
they	PP	they
are	VBP	be
too	RB	too
tired	JJ	tired
when	WRB	when
i	NNS	i
want	VBP	want
to	TO	to
speak	VB	speak
about	IN	about
this	DT	this
topic	NN	topic
or	CC	or
its	PP$	its
very	RB	very
late	JJ	late
at	IN	at
night	NN	night
.	SENT	.
i	NNS	i
spend	VBP	spend
my	PP$	my
time	NN	time
with	IN	with
my	PP$	my
goldfishes	NNS	goldfish
to	TO	to
reduce	VB	reduce
my	PP$	my
loneliness	NN	loneliness
but	CC	but
did	VBD	do
n't	RB	n't
make	VB	make
much	JJ	much
difference	NN	difference
.	SENT	.
due	JJ	due
to	TO	to
this	DT	this
loneliness	NN	loneliness
i	NNS	i
am	VBP	be
losing	VBG	lose
my	PP$	my
hope	NN	hope
to	TO	to
do	VB	do
anything	NN	anything
,	,	,
i	NNS	i
am	VBP	be
losing	VBG	lose
interest	NN	interest
in	IN	in
my	PP$	my
hobbies	NNS	hobby
,	,	,
my	PP$	my
studies	NNS	study
are	VBP	be
getting	VBG	get
impact	NN	impact
because	IN	because
of	IN	of
it	PP	it
.	SENT	.
after	IN	after
all	PDT	all
this	DT	this
i	NP	i
only	RB	only
asked	VBD	ask
god	NN	god
only	RB	only
one	CD	one
such	JJ	such
friend	NN	friend
who	WP	who
makes	VBZ	make
me	PP	me
feel	VBP	feel
that	IN	that
i	NNS	i
exist	VBP	exist
,	,	,
i	NNS	i
have	VBP	have
someone	NN	someone
,	,	,
someone	NN	someone
who	WP	who
can	MD	can
understand	VB	understand
me	PP	me
,	,	,
who	WP	who
makes	VBZ	make
me	PP	me
feel	VBP	feel
empowered	VBN	empower
and	CC	and
motivated	VBN	motivate
,	,	,
a	DT	a
friend	NN	friend
who	WP	who
does	VBZ	do
n't	RB	n't
leave	VB	leave
me	PP	me
in	IN	in
difficult	JJ	difficult
times	NNS	time
,	,	,
a	DT	a
friend	NN	friend
who	WP	who
support	VBP	support
me	PP	me
.	SENT	.
I	PP	I
can	MD	can
do	VB	do
anything	NN	anything
to	TO	to
this	DT	this
friend	NN	friend
.	SENT	.
But	CC	but
think	VBP	think
its	PP$	its
too	RB	too
much	JJ	much
to	TO	to
ask	VB	ask
from	IN	from
him	PP	him
...	:	...
.💔	JJ	<unknown>
i	NNS	i
do	VBP	do
n't	RB	n't
think	VB	think
i	NP	i
will	MD	will
get	VB	get
any	DT	any
friend	NN	friend
who	WP	who
even	RB	even
talk	VBP	talk
to	TO	to
me	PP	me
...	:	...
...	:	...
.	SENT	.
.	SENT	.
but	CC	but
yeah	RB	yeah
!	SENT	!
here	RB	here
's	VBZ	be
my	PP$	my
part	NN	part
of	IN	of
life	NN	life
i	NP	i
felt	VBD	feel
to	TO	to
share	VB	share
with	IN	with
you	PP	you
all	RB	all
.	SENT	.
